,name,total,percent,code
0,Albania,2,0.0007307270734380001,ALB
1,Algeria,2,0.0007307270734380001,DZA
2,Antigua And Barbuda,3,0.00109609061016,ATG
3,Argentina,52,0.0189989039094,ARG
4,Armenia,1,0.00036536353671900003,ARM
5,Australia,34,0.012422360248399999,AUS
6,Austria,6,0.00219218122031,AUT
7,Azerbaijan,3,0.00109609061016,AZE
8,Bangladesh,3,0.00109609061016,BGD
9,Belarus,2,0.0007307270734380001,BLR
10,Belgium,13,0.00474972597735,BEL
11,Belize,1,0.00036536353671900003,BLZ
12,Bermuda,1,0.00036536353671900003,BMU
13,"Bolivia, Plurinational State Of",3,0.00109609061016,BOL
14,Bosnia And Herzegovina,1,0.00036536353671900003,BIH
15,Botswana,1,0.00036536353671900003,BWA
16,Brazil,319,0.116550968213,BRA
17,Bulgaria,2,0.0007307270734380001,BGR
18,Burundi,1,0.00036536353671900003,BDI
19,Cambodia,1,0.00036536353671900003,KHM
20,Cameroon,3,0.00109609061016,CMR
21,Canada,62,0.0226525392766,CAN
22,Chile,23,0.00840336134454,CHL
23,China,26,0.00949945195469,CHN
24,Colombia,32,0.011691633174999999,COL
25,Costa Rica,9,0.00328827183047,CRI
26,Croatia,1,0.00036536353671900003,HRV
27,Cuba,3,0.00109609061016,CUB
28,Czechia,6,0.00219218122031,CZE
29,Denmark,5,0.0018268176835999999,DNK
30,Dominican Republic,5,0.0018268176835999999,DOM
31,Ecuador,21,0.0076726342711,ECU
32,Egypt,13,0.00474972597735,EGY
33,El Salvador,5,0.0018268176835999999,SLV
34,Ethiopia,1,0.00036536353671900003,ETH
35,Fiji,2,0.0007307270734380001,FJI
36,Finland,9,0.00328827183047,FIN
37,France,23,0.00840336134454,FRA
38,Georgia,3,0.00109609061016,GEO
39,Germany,63,0.0230179028133,DEU
40,Ghana,9,0.00328827183047,GHA
41,Greece,14,0.00511508951407,GRC
42,Guatemala,13,0.00474972597735,GTM
43,Guyana,1,0.00036536353671900003,GUY
44,Haiti,1,0.00036536353671900003,HTI
45,Honduras,6,0.00219218122031,HND
46,Hong Kong,20,0.007307270734380001,HKG
47,Hungary,9,0.00328827183047,HUN
48,India,70,0.0255754475703,IND
49,Indonesia,7,0.0025575447570300005,IDN
50,Iraq,2,0.0007307270734380001,IRQ
51,Ireland,7,0.0025575447570300005,IRL
52,Israel,3,0.00109609061016,ISR
53,Italy,26,0.00949945195469,ITA
54,Jamaica,1,0.00036536353671900003,JAM
55,Japan,8,0.0029229082937499997,JPN
56,Jordan,4,0.0014614541468800002,JOR
57,Kazakhstan,1,0.00036536353671900003,KAZ
58,Kenya,10,0.0036536353671900003,KEN
59,"Korea, Republic Of",11,0.00401899890391,KOR
60,Kyrgyzstan,1,0.00036536353671900003,KGZ
61,Latvia,2,0.0007307270734380001,LVA
62,Lebanon,3,0.00109609061016,LBN
63,Liberia,2,0.0007307270734380001,LBR
64,Libya,1,0.00036536353671900003,LBY
65,Malawi,5,0.0018268176835999999,MWI
66,Malaysia,12,0.0043843624406300005,MYS
67,Mexico,81,0.029594446474200002,MEX
68,Mongolia,1,0.00036536353671900003,MNG
69,Morocco,3,0.00109609061016,MAR
70,Mozambique,4,0.0014614541468800002,MOZ
71,Myanmar,2,0.0007307270734380001,MMR
72,Nepal,3,0.00109609061016,NPL
73,Netherlands,26,0.00949945195469,NLD
74,New Zealand,10,0.0036536353671900003,NZL
75,Nicaragua,4,0.0014614541468800002,NIC
76,Nigeria,39,0.014249177932,NGA
77,Norway,10,0.0036536353671900003,NOR
78,Pakistan,11,0.00401899890391,PAK
79,"Palestine, State Of",3,0.00109609061016,PSE
80,Panama,2,0.0007307270734380001,PAN
81,Paraguay,3,0.00109609061016,PRY
82,Peru,18,0.00657654366094,PER
83,Philippines,14,0.00511508951407,PHL
84,Poland,3,0.00109609061016,POL
85,Portugal,22,0.00803799780782,PRT
86,Puerto Rico,2,0.0007307270734380001,PRI
87,Romania,10,0.0036536353671900003,ROU
88,Russian Federation,14,0.00511508951407,RUS
89,Rwanda,2,0.0007307270734380001,RWA
90,Réunion,1,0.00036536353671900003,REU
91,Saudi Arabia,1,0.00036536353671900003,SAU
92,Senegal,1,0.00036536353671900003,SEN
93,Serbia,3,0.00109609061016,SRB
94,Sierra Leone,2,0.0007307270734380001,SLE
95,Singapore,11,0.00401899890391,SGP
96,Slovakia,3,0.00109609061016,SVK
97,Somalia,1,0.00036536353671900003,SOM
98,South Africa,18,0.00657654366094,ZAF
99,South Sudan,1,0.00036536353671900003,SSD
100,Spain,104,0.0379978078188,ESP
101,Sri Lanka,2,0.0007307270734380001,LKA
102,Sudan,1,0.00036536353671900003,SDN
103,Sweden,20,0.007307270734380001,SWE
104,Switzerland,9,0.00328827183047,CHE
105,Taiwan,18,0.00657654366094,TWN
106,"Tanzania, United Republic Of",1,0.00036536353671900003,TZA
107,Thailand,2,0.0007307270734380001,THA
108,Timor-Leste,1,0.00036536353671900003,TLS
109,Togo,1,0.00036536353671900003,TGO
110,Trinidad And Tobago,5,0.0018268176835999999,TTO
111,Tunisia,3,0.00109609061016,TUN
112,Turkey,7,0.0025575447570300005,TUR
113,Uganda,1,0.00036536353671900003,UGA
114,Ukraine,30,0.010960906101599999,UKR
115,United Arab Emirates,1,0.00036536353671900003,ARE
116,United Kingdom,87,0.03178662769459999,GBR
117,United States,1064,0.388746803069,USA
118,Uruguay,4,0.0014614541468800002,URY
119,"Venezuela, Bolivarian Republic Of",28,0.0102301790281,VEN
120,Viet Nam,1,0.00036536353671900003,VNM
121,Zimbabwe,3,0.00109609061016,ZWE
